dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
wine,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 2}",5,0,0.16063289679068543,2.2486331058037194,0.6736208804544345,0.5692184695378149,0.9101123595505618
wine,prototype,PCA_KMeans,"{""n_clusters"": 6, ""pca_components"": 2}",6,0,0.12569571485044762,2.2706877389651,0.6187403379340669,0.47170889624320367,0.9101123595505618
wine,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 3}",2,0,0.2593169555318255,1.525996583605209,0.4782459382083588,0.37431449262136857,0.601123595505618
wine,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 3}",3,0,0.2840401034630662,1.3940374118417973,0.8609456714542119,0.8803997758776985,0.9606741573033708
wine,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 3}",4,0,0.24800252914338572,1.7331834583759906,0.757083991632626,0.7258106835144074,0.9606741573033708
wine,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 3}",5,0,0.20429355081708567,1.7988840503723005,0.6756577228915199,0.6182621148276864,0.9157303370786517
wine,prototype,PCA_KMeans,"{""n_clusters"": 6, ""pca_components"": 3}",6,0,0.13790603420797587,2.043970783821043,0.6093934071606567,0.4628198229056999,0.9101123595505618
wine,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 5}",2,0,0.2593169555318255,1.525996583605209,0.4782459382083588,0.37431449262136857,0.601123595505618
wine,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 5}",3,0,0.28485891918989864,1.3891879777181646,0.875893534122307,0.8974949815093207,0.9662921348314607
wine,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 5}",4,0,0.2449640180301915,1.8097330292642742,0.7625122825242937,0.7162698298524371,0.949438202247191
wine,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 5}",5,0,0.22463084389170956,1.723969142119683,0.697330259361061,0.6553012511190085,0.949438202247191
wine,prototype,PCA_KMeans,"{""n_clusters"": 6, ""pca_components"": 5}",6,0,0.23605462663460916,1.6176288449335743,0.6907848199048985,0.6315798413433222,0.949438202247191
